Normalized tag,Clean,Mitch's Category,Laura's Category,Model,Field
denc6b2834624a,DenC6 B2834 624a,Call Number,Call Number,Copy,Call Number
denc6b2835ep657b,DenC6 B2835 Ep657b,Call Number,Call Number,Copy,Call Number
denc65h4447662p,DenC65 H4447 662p,Call Number,Call Number,Copy,Call Number
eca100629rc,EC A100 629rc,Call Number,Call Number,Copy,Call Number
eca100641lb,EC A100 641lb,Call Number,Call Number,Copy,Call Number
eca100894h,EC A100 894h,Call Number,Call Number,Copy,Call Number
ecal833716a,EC Al833 716a,Call Number,Call Number,Copy,Call Number
ecb1325597e1680,EC B1325 597e 1680,Call Number,Call Number,Copy,Call Number
ecb3576827t,EC B3576 827t,Call Number,Call Number,Copy,Call Number
ecb3837884bcopy2,EC B3837 884b copy 2,Call Number,Call Number,Copy,Call Number
ecb3884828j,EC B3884 828j,Call Number,Call Number,Copy,Call Number
ecb3920475h1681,EC B3920 475h 1681,Call Number,Call Number,Copy,Call Number
ecb3920534h1541,EC B3920 534h 1541,Call Number,Call Number,Copy,Call Number
ecb4343735d,EC B4343 735d,Call Number,Call Number,Copy,Call Number
ecb4567a598t1641,EC B4567 A598t 1641,Call Number,Call Number,Copy,Call Number
ecb4679679b,EC B4679 679b,Call Number,Call Number,Copy,Call Number
ecb9155510pe,EC B9155 510pe,Call Number,Call Number,Copy,Call Number
ecc1448605r1637,EC C1448 605r 1637,Call Number,Call Number,Copy,Call Number
ecc1927655p,EC C1927 655p,Call Number,Call Number,Copy,Call Number
ecc1927657t,EC C1927 657t,Call Number,Call Number,Copy,Call Number
ecc1927a664c,EC C1927 A664c,Call Number,Call Number,Copy,Call Number
ecc8296651c,EC C8296 651c,Call Number,Call Number,Copy,Call Number
ecc8296651cb,EC C8296 651cb,Call Number,Call Number,Copy,Call Number
ecc8296655a,EC C8296 655a,Call Number,Call Number,Copy,Call Number
