CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field
NEW:NO_MATCH:gymnasiumfridericianumaltenburgthuringiagermanybibliothek,"Gymnasium Fridericianum (Altenburg, Thuringia, Germany)‏. Bibliothek",,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:pontificiauniversitàgregoriana,Pontificia Università gregoriana‏,,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:monasterodiastinobergamoitaly,"Monastero di Astino (Bergamo, Italy)‏",,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:pèresdeladoctrinechrétienneparisbibliothèque,Pères de la doctrine chrétienne (Paris). Bibliothèque,,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:stmariafabariensechurchpfäferssaintgallswitzerland,"St. Maria Fabariense (Church : Pfäfers, Saint Gall, Switzerland)",,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:universitécatholiquedelouvain18351969,Université catholique de Louvain (1835-1969),,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:universitédelouvain14251797,Université de Louvain (1425-1797),,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:universitédelouvain14251797bibliothèque,Université de Louvain (1425-1797). Bibliothèque,,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:univerzitapalackéhovolomouci,Univerzita Palackého v Olomouci‏,,,Unknown,Unk: Organization or Holding Place
NEW:NO_MATCH:Öffentlicheköniglichebibliothek,Öffentliche Königliche Bibliothek,,,Unknown,Unk: Organization or Holding Place
CURR:NO_MATCH:franciscan,franciscan,,Organization,Unknown ,Organization 
CURR:NO_MATCH:preraphaelitebrhood,Pre-Raphaelite Brhood,,Organization,Unknown ,Organization 
CURR:NO_MATCH:alexanderwedderburnearlofrosslyn17331805,"Alexander Wedderburn , Earl of Rosslyn, 1733-1805",Person,Person,Unknown ,Person Unknown 
CURR:NO_MATCH:arpinicaroli,"Arpini, Caroli",Person,Person,Unknown ,Person Unknown 
CURR:NO_MATCH:barbançonmaried1601,"Barbançon, Marie, d. 1601",Person,Person,Unknown ,Person Unknown 
CURR:NO_MATCH:geigerludwig18481919,"Geiger, Ludwig, 1848-1919",Person,Person,Unknown ,Person Unknown 
NEW:NO_MATCH:bibliothèquedestphilippe,Bibliothèque de St. Philippe,,,Unknown ,Unk: Organization | Holding Place
