Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
ac7r8953768dcopy2,AC7 R8953 768d copy 2,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953770s,AC7 R8953 770s,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953770sb,AC7 R8953 770sb,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953772s,AC7 R8953 772s,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953773abcopy2,AC7 R8953 773ab copy 2,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953773e,AC7 R8953 773e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953774o,AC7 R8953 774o,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953774ocopy2,AC7 R8953 774o copy 2,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953777o,AC7 R8953 777o,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953784c,AC7 R8953 784c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953786o,AC7 R8953 786o,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953786ocopy2,AC7 R8953 786o copy 2,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953787e,AC7 R8953 787e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953787ih,AC7 R8953 787ih,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953787ii,AC7 R8953 787ii,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953787t,AC7 R8953 787t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953789o,AC7 R8953 789o,Call Number,Call Number,Copy,Call Number,Secondary 
